id_titulacao,id_autor,INICIO_DOUTORADO,TERMINO_DOUTORADO,id_instituicao,CURSO DE DOUTORADO
3,50,1998,2002,76,curso de doutorado in computer science/Computação
3,417,2015,2019,70,Engenharia Elétrica
3,123,2004,2008,68,Computação
3,76,2010,2013,68,Informática na Educação
3,118,2012,2017,68,Computação
3,28,2001,2004,68,Administração
3,61,2010,2014,68,Computação
3,119,1999,2003,68,Computação
3,59,2006,2012,68,Computação
3,89,2004,2008,68,Computação
3,19,2006,2011,68,Computação
3,321,1999,2005,68,Eng de Recursos Hídricos e Saneamento Ambiental
3,376,2008,2012,67,Engenharia de Sistemas e Computação
3,190,2012,2016,66,Informática
3,163,2012,2017,66,Informática
3,64,2010,2014,66,Informática
3,281,2019,,66,Informática
3,259,2017,,61,Ciência da Computação
3,135,2002,2006,59,Engenharia Elétrica
3,54,2016,,58,Ciências da Computação
3,213,2019,,58,Ciências da Computação
3,115,2019,,58,Engenharia e Gestão do Conhecimento
3,422,2011,2015,58,Engenharia e Gestão do Conhecimento
3,107,2009,2014,58,Engenharia e Gestão do Conhecimento
3,244,2016,,58,Ciências da Computação
3,242,2016,,58,Programa de Pós-Graduação em Ciência da Computação (PPGCC)
3,49,2016,,58,Ciências da Computação
3,384,2014,2018,56,Ciências da Computação
3,43,2005,2009,56,Ciências da Computação
3,181,2020,,55,COMPUTAÇÃO
3,400,2018,,51,Ciência da Computação
3,292,2020,,50,Ciencias da Computação
3,304,2007,2015,45,Ciência da Computação/PhD
3,258,2007,2011,45,Ciência da Computação
3,83,1999,2003,45,Ciência da Computação
3,158,2003,2007,40,Engenharia Elétrica
3,40,2005,2009,40,Ciências da Computação e Matemática Computacional
3,139,1995,2000,40,Ciências da Comunicação
3,428,2001,2006,40,Engenharia Elétrica
3,209,2018,,40,Ciências da Computação e Matemática Computacional
3,129,2010,2013,37,Agronomia
3,229,2015,2018,31,Ciencias y Tecnología Industriales
3,169,2015,,30,Ciência da Computação
3,225,2012,2016,26,Ciência da Computação
3,53,2007,2012,25,Informática
