id_titulacao,id_autor,INICIO_MESTRADO,TERMINO_MESTRADO,id_instituicao,CURSO DE MESTRADO
2,256,2018,,77,M.Sc. in Computer Science
2,341,2019,,75,Engenharia Elétrica e Informática Industrial
2,40,2001,2003,74,Sistemas e Computação
2,417,2010,2013,70,Engenharia Elétrica
2,66,2005,2007,68,Computação
2,139,1976,1983,68,Planejamento Urbano e Regional
2,419,1997,2000,68,Computação
2,123,1999,2001,68,Computação
2,118,2009,2010,68,Computação
2,29,2008,2009,68,PPGC - Programa de Pós Graduação em Computação UFRGS
2,61,1997,1999,68,Computação
2,20,2003,2005,68,Computação
2,181,2012,2014,68,Computação
2,9,2017,,68,Computação
2,119,1996,1998,68,Computação
2,59,2003,2005,68,Computação
2,50,1991,1994,68,Computação
2,89,1991,1993,68,Ciência da Computação
2,19,2003,2005,68,Computação
2,228,2013,2015,78,Engenharia de Computação
2,229,2013,2015,78,Engenharia de Computação
2,207,2012,2014,78,Engenharia de Computação
2,369,2014,2016,78,Engenharia de Computação
2,200,2018,,78,Engenharia de Computação
2,376,2005,2008,67,Engenharia de Sistemas e Computação
2,190,2009,2011,66,Informática
2,408,2017,2019,66,Métodos Numéricos em Engenharia
2,145,2008,2010,66,Informática
2,364,2018,,66,Informática
2,258,2003,2005,66,Informática
2,259,2015,2017,61,Ciência da Computação
2,428,1998,2000,60,Ciência da Computação
2,240,2015,,59,Informática
2,307,2013,,59,Informática
2,291,2015,2017,59,Informática
2,312,2018,,59,Ciências da Computação
2,130,2006,2008,59,Engenharia de Produção
2,326,2017,2017,59,Ciência da Computação
2,135,2000,2002,59,Engenharia Elétrica
2,231,2014,2016,59,Ciência da Computação
2,281,2017,2019,59,Informática
2,212,2017,2019,59,Informática
2,129,2003,2005,58,Ciências da Computação
2,54,2004,2007,58,Ciências da Computação
2,82,2006,2008,58,Ciências da Computação
2,186,2011,2013,58,Ciências da Computação
2,213,2017,2019,58,Ciências da Computação
2,115,2014,2016,58,Ciências da Computação
2,422,2002,2003,58,Ciências da Computação
2,107,2006,2008,58,Engenharia e Gestão do Conhecimento
2,189,2013,2015,58,Ciências da Computação
2,244,2014,2016,58,Ciências da Computação
2,242,2014,2016,58,Programa de Pós-Graduação em Ciência da Computação (PPGCC)
2,171,2011,,58,Ciências da Computação
2,112,2012,2015,58,Ciências da Computação
2,64,2006,2008,58,Ciências da Computação
2,150,2008,2010,58,Ciências da Computação
2,236,2013,,58,Ciências da Computação
2,49,2005,2007,58,Ciências da Computação
2,384,2010,2012,56,Ciências da Computação
2,329,2019,,54,DIREITO AGROAMBIENTAL
2,43,1998,2000,53,Ciência da Computação
2,400,2015,2017,51,Ciência da Computação
2,158,1998,2002,50,Filosofia
2,424,2010,2012,50,Ciência da Computação
2,163,2002,2004,47,Ciência da Computação
2,292,2015,2016,46,Ciência da Computação
2,301,2016,2018,46,Ciência da Computação
2,314,2017,2019,46,Ciência da Computação
2,304,2005,2007,45,Ciência da Computação
2,83,1992,1994,45,Ciência da Computação
2,321,1992,1994,45,Engenharia Civil
2,373,2015,2017,43,Computação
2,282,2017,,42,Computação Aplicada
2,36,2009,,41,Processamento de Linguas Naturais
2,209,2016,2018,40,Ciências da Computação e Matemática Computacional
2,169,2012,2014,38,Engenharia da Computação
2,274,2016,2018,34,Informática
2,76,2006,2008,32,Ciência da Computação
2,439,2009,,27,Programa de Pós Graduação em Informática
2,5,2004,2005,27,Computação
2,85,2007,2009,27,Sistemas e Processos Industriais
2,1,2002,,27,SEM_DADOS
2,53,2005,2006,27,Ciência da Computação
2,165,2007,,27,Computação
2,27,2003,2006,27,SEM_DADOS
2,48,2012,,27,Informática
2,435,2009,2012,27,Informática
2,3,2006,2008,27,Computação
2,92,2005,,27,SEM_DADOS
2,58,2009,,27,Ciência da Computação
2,21,2006,2008,27,Computação Aplicada
2,81,2006,2007,27,SEM_DADOS
2,56,2000,2002,27,Ciências da Computação
2,315,2017,,26,Ciência da Computação
2,28,1996,1998,26,Ciência da Computação
2,91,2006,2008,26,Ciência da Computação
2,68,2005,,26,Ciência da Computação
2,225,2010,2012,26,Ciência da Computação
2,232,2011,2013,26,Ciência da Computação
2,7,2004,,26,Ciência da Computação
2,155,2012,2014,25,Informática
2,211,2004,2006,24,Informática
2,296,2009,2012,17,Engenharia da Computação
2,72,2009,2010,16,Sist. de Informação e Eng. Avançada de Software
